,text
0,"IPC Section 33: The word act denotes as well as series of acts as a single act [...] changes to BNSClause 2 (1): act as well a series of acts as a single act;The Implication of revision is The definition in section 33 explained that the term act also denoted a series of acts. The definition in clause 2(1) of the BNS does not convey the same meaning, and may lead to confusion as to whether an act signifies a series of acts. In its current form, the definition
has no meaning."
1,"IPC Section 20: The words Court of Justice denote a Judge who is empowered by law to act judicially alone, or a body of Judges which is empowered by law to act judicially as a body, when such Judge or body of Judges is acting judicially. changes to BNSClause 2(4): Court means a Judge who is empowered by law to act judicially alone, or a body of Judges, which is empowered by law to act judicially as a body, when such Judge or body of Judges is acting judicially;The Implication of revision is It is not clear why this change was necessitated. Further, due to the change in the definition of judge in the BNS, some institutions presided over by quasi- judicial authorities may no longer be considered courts of justice."
2,"IPC Section 8: The pronoun he and its derivatives are used of any person, whether male or female. changes to BNSClause 2 (9): genderthe pronoun he and its derivatives are used of any person, whether male, female or transgender.
Explanation. transgender shall have the meaning assigned to it in clause (k) of section 2 of the Transgender Persons (Protection of Rights) Act, 2019;The Implication of revision is While the definition is now more inclusive, it will have no practical implication unless specific offences applicable to transgender persons are defined/created. For instance, the Justice Verma Committee had recommended that victims in sexual offences be gender- neutral, with the objective that trans persons be covered within the definition of rape. That change was neither made in 2013 when the rape laws were amended, nor has it been made in the BNS. Further, there are no offences relating to specific targeting of trans persons due to their gender identity. This is further exacerbated by the fact that they have historically been one of the most persecuted and criminalised
communities in India."
3,"IPC Section 19: The word Judge denotes not only every person who is officially designated as a Judge, but also every person who is empowered by law to give, in any legal proceeding, civil or criminal, a definitive judgment, or a judgment which, if not appealed against, would be definitive, or a judgment which, if confirmed by some other authority, would be definitive, or who is one of a body or persons, which body of persons is empowered by law to give such a judgment. Illustrations: (a) A Collector exercising jurisdiction in a suit under Act 10 of 1859 is a Judge. (b) A Magistrate exercising jurisdiction in respect of a charge on which he has power to sentence to fine or imprisonment, with or without appear, is a Judge. (c) A member of a panchayat which has power, under 4Regulation VII, 1816, of the Madras Code, to try and determine suits, is a Judge. (d) A Magistrate exercising jurisdiction in respect of a charge on which he has power only to commit for trial to another Court, is not a
Judge. changes to BNSClause 2(15):  Judge means a person who is officially designated as a Judge and includes a person,(i) who is empowered by law to give, in any legal proceeding, civil or criminal, a definitive judgment, or a judgment which, if not appealed against, would be definitive, or a judgment which, if confirmed by some other authority, would be definitive; or (ii) who is one of a body or persons, which body of persons is empowered by law to give such a judgment. Illustration: A Magistrate exercising jurisdiction in respect of a charge on which he has power to sentence to fine or imprisonment, with or without appeal, is a Judge;The Implication of revision is The change proposed by the definition in the BNS appears to exclude quasi- judicial authorities. This may make the defence under section 15, BNS unavailable to quasi-judicial authorities. Under the IPC, the defence under section 77 was available to quasi-judicial authorities. These provisions save a Judge from criminal liability when acting judicially in exercise of their powers."
4,"IPC No equivalent provision in the IPC. changes to BNSClause 2(19): mental illness shall have the meaning assigned to it in clause (a) of section 2 of the Mental Healthcare Act, 2017;The Implication of revision is This is an error since clause (a) of Section 2 of the Mental Healthcare Act, 2017 does not define mental illness. The reference ought to be to clause (s) of Section 2, which reads: mental illness means a substantial disorder of thinking, mood, perception, orientation or memory that grossly impairs judgment, behaviour, capacity to recognise reality or ability to meet the ordinary demands of life, mental conditions associated with the abuse of alcohol and drugs, but does not include mental retardation which is a condition of arrested or incomplete development of mind of a person, specially characterised by subnormality
of intelligence."
5,"IPC Section 22: The words movable property are intended to include corporeal property of every description, except land and things attached to the earth or permanently fastened to anything
which is attached to the earth. changes to BNSClause 2(21): movable property includes property of every description, except land and things attached to the earth or permanently fastened to anything which is attached
to the earth;The Implication of revision is The definition of movable property is now no longer confined to corporeal property. It remains unclear as to whether incorporeal property of every kind is included with the definition of movable property."
6,"IPC Section 51: The word oath includes a solemn affirmation substituted by law for an oath, and anydeclaration required or authorised by law to be made before a public servant or to be used for the purposeof proof, whether in a Court of Justice or
not. changes to BNSClause 2(23): oath includes a solemn affirmation substituted by law for an oath, and any declaration required or authorised by law to be made before a public servant or to be used for the purpose of proof, whether in a Court or not;The Implication of revision is The implication of this change is similar to what is discussed in Clause 2(4) of the BNS. Oaths taken before quasi-judicial authorities may no longer be covered under this provision."
7,"IPC Section 21: Explanation 3  The word election denotes an election for the purpose of selecting members of any legislative, municipal or other public authority, of whatever character, the method of selection to which is by, or under, any law prescribed as by election. changes to BNSClause 2(28)(k) Explanation (c): 'election means an election for the purpose of selecting members of any legislative, municipal or other public authority, of whatever character, the method of election to which is by, or under any law for the time being in forceThe Implication of revision is The Explanation appears incomplete."
8,"IPC No equivalent provision in the IPC. changes to BNSClause 4: The punishments of which offenders are liable under the provisions of this Sanhita are:...(f) Community
ServiceThe Implication of revision is Community Service has been added as a possible form of punishment under the BNS. It remains unclear precisely what this form of punishment would entail
and how it would be administered."
9,"IPC Section 57: In calculating fractions of terms of punishment, imprisonment for life shall be reckoned as equivalent to imprisonment for twenty years. changes to BNSClause 6: In calculating fractions of terms of punishment, imprisonment for life shall be recokned as equivalent to imprisonment for twenty years unless otherwise provided.The Implication of revision is Previously, where punishments had to be calculated through fractions of a life imprisonment term, such a term would be considered equal to twenty years. The addition of unless otherwise provided empowers the Legislature to specify that life imprisonment terms can be considered equivalent to more or less than twenty years of imprisonment in
certain cases."
10,"IPC Section 84: Nothing is an offence which is done by a person who, at the time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that he is doing what is either wrong or contrary to law. changes to BNSClause 22: Nothing is an offence which is done by a person who, at the time of doing it, by reason of mental illness, is incapable of knowing the nature of the act, or that he is doing what is either wrong or contrary to lawThe Implication of revision is The definition of mental illness in Section 2(s) of the Mental Healthcare Act, 2017 is both broad, and restrictive. For instance, it excludes mental retardation, which is defined as a condition of arrested or incomplete development of mind of a person, specially characterised by subnormality of intelligence. Such a person may not have the capacity to  form knowledge, and hence get excluded from the benefit of clause 22 of the BNS. On the other hand, the breadth of the definition may also make it overinclusive, i.e. include individuals who would earlier not have got the benefit of section 84, IPC. However, since the test under the new provision remains unchanged, the standards used for its invocation would still apply. Therefore, the stereotypes associated with Sec. 84 of
the IPC would continue."
11,"IPC Section 85: Nothing is an offence which is done by a person who, at the time of doing it, is, by reason of intoxication, incapable of knowing the nature of the act, or that he is doing what is either wrong, or contrary to law; provided that the thing which intoxicated him was administered to him without his knowledge or against his will. changes to BNSClause 23: Nothing is an offence which is done by a person who, at the time of doing it, is, by reason of intoxication, incapable of knowing the nature of the act, or that he is doing what is either wrong, or contrary to law; unless that the thing which intoxicated him was administered to him without his knowledge or against his
will.The Implication of revision is Replacing provided that with unless that completely changes the meaning of the intoxication defence. It makes voluntary intoxication a defence."
12,"IPC Section 89: Nothing which is done in good faith for the benefit of a person under twelve years of age, or of unsound mind, by or by consent, either express or  implied, of the guardian or other person having lawful charge of that person, is an offence by reason of any harm which it may cause, or be intended by the doer to cause or be known by the doer to be likely to cause to that person: Provided Provisos.
First.That this exception shall not extend to the intentional causing of death, or to the attempting to cause death; Secondly.That this exception shall not extend to the doing of anything which the person doing it knows to be likely to cause death, for any purpose other than the preventing of death or grievous hurt, or the curing of any grievous disease or infirmity; Thirdly.That this exception shall not extend to the voluntary causing of grievous hurt, or to the attempting to cause grievous hurt, unless it be for the purpose of preventing death or grievous hurt; or the curing of any grievous disease or infirmity; Fourthly.That this exception shall not extend to the abetment of any offence, to the committing of which offence it would not extend. changes to BNSClause 27: Nothing which is done in good faith for the benefit of a person under twelve years of age, or of person with mental illness, by or by consent, either express or implied, of the guardian or other person having lawful charge of that person, is an offence by reason of any harm which it may cause, or be intended by the doer to cause or be known by the doer to be likely to cause to that person: Provided that this exception shall not extend to
(a) the intentional causing of death, or to the attempting to cause death;
(b) the doing of anything which the person doing it knows to be likely to cause death, for any purpose other than the preventing of death or grievous hurt, or the curing of any grievous disease or infirmity;
(c) the voluntary causing of grievous hurt, or to the attempting to cause grievous hurt, unless it be for the purpose of preventing death or grievous hurt, or the curing of any grievous disease or infirmity;
(d) the abetment of any offence, to the committing of which offence it would not
extend.The Implication of revision is As discussed in the context of clause 22, the definition of mental illness being broad, the agency of persons with mental illness may be impacted in this case. The Mental Healthcare Act, 2017 has a particular mechanism for appointment of nominated representatives, which puts the agency/capacity of the person with mental illness at the forefront."
13,"IPC Section 103: The right of private defence of property extends, under the restrictions mentioned in section 99, to the voluntarycausing of death or of any other harm to the wrong- doer, if the offence, the committing of which, or theattempting to commit which, occasions the exercise of the right, be an offence of any of the descriptionshereinafter enumerated, namely:First. Robbery;Secondly.House- breaking by night;Thirdly. Mischief by fire committed on any building, tent or vessel, which building, tent or vessel is used as a human dwelling or as a place for the custody of property;Fourthly.Theft, mischief or house-trespass, under such circumstances as may reasonably cause apprehension that death or grievous hurt will be the consequence, if such right of private defence is not exercised. changes to BNSClause 41: The right of private defence of property extends, under the restrictions specified in section 37, to the voluntary causing of death or of any other harm to the wrong-doer, if the offence, the committing of which, or the attempting to commit which, occasions the exercise of the right, be an offence of any of the descriptions hereinafter enumerated, namely:(a) robbery;(b) house-breaking after sun set and before sun rise;(c) mischief by fire or any explosive substance committed on any building, tent or vessel, which building, tent or vessel is used as a human dwelling, or as a place for the custody of property;(d) theft, mischief, or house-trespass, under such circumstances as may reasonably cause  apprehension that death or grievous hurt will be the consequence, if such right of private defence is not
exercised.The Implication of revision is The change from housebreaking by night to housebreaking after sunset and before sunrise appears unnecessary. Without reasons being provided for the change being made, it is not clear as to why this change is required. Mischief by fire has been expanded to additionally include mischief caused by explosive substances."
14,"IPC No equivalent provision in the IPC. changes to BNSClause 48: A person abets an offence within the meaning of this Sanhita who, without and beyond India, abets the commission of any act in India which would constitute an offence if committed in India. Illustration.
A, in country X, instigates B, to
commit a murder in India, A is guilty of abetting murder.The Implication of revision is This section expands the jurisdiction of the Act in respect of abetment of offences to include people who are outside of India, but can be linked to the commission of an offence within India.
Such persons can now be proceeded against under the Act."
15,"IPC No equivalent provision in the IPC. changes to BNSClause 69: Whoever, by deceitful means or making by promise to marry to a woman without any intention of fulfilling the same, and has sexual intercourse with her, such sexual intercourse not amounting to the offence of rape, shall be punished with imprisonment of either description for a term which may extend to ten years and shall also be liable to fine.
Explanation. deceitful means shall include the false promise of employment or promotion, inducement or marring after suppressing identity.The Implication of revision is This brings in a new offence of deceitful sexual intercourse. The terminology usednot amounting to rapecreates confusion. This term is used earlier in Section 376C of the IPC (now clause 68, BNS) and covers situations where there was consent at the time of sexual intercourse, which was not vitiated.
Section 376C and 68, BNS are meant to prohibit sexual relations between people of particular relationships. However, in this clause, deceit conceptually vitiates consent; so does breach of promise which involves the accused not having any intention of going through with the promise. Hence, the meaning of not amounting to rape is not clear. It could possibly mean that the offence is not rape, or that if a person is acquitted of rape, they can still be prosecuted and punished under this section. Further, all others sections in this chapter that use the term sexual intercourse (such as Clause 67 and 68) define it to mean sexual acts beyond penile-vaginal penetration. Using the term sexual intercourse without defining it means that it covers only penile-vaginal penetration. Furthermore, unlike other sections in this chapter, there is no minimum punishment under this  section, and the maximum punishment
prescribed is 10 years."
16,"IPC Section 376DA: Where a woman under sixteen years of age is raped by one or more persons constituting a group or acting in furtherance of a common intention, each of those persons shall be deemed to have committed the offence of rape  and shall be punished with imprisonment for life, which shall mean imprisonment for the remainder of that person's natural life, and with fine: Provided that such fine shall be just and reasonable to meet the medical expenses and rehabilitation of the
victim: Provided further that any changes to BNSClause 70(2): Where a woman under eighteen years of age is raped by one or more persons constituting a group or acting in furtherance of a common intention, each of those persons shall be deemed to have committed the offence of rape and shall be punished with imprisonment for life, which shall mean imprisonment for the
remainder of that persons natural life, and with fine, or with death:Provided that such fine shall be just and
reasonable to meet the medicalThe Implication of revision is Changing the age from 16 years to 18 years expands the scope of the provision to include those offenders who commit gangrape on women between 16 to 18 years of age. Additionally, this offence is now punishable with the death penalty. This also explains why Section 376 DB (which prescribed the punishment for gangrape of a woman under twelve years of age) has now been deleted, as the offences under that provision are now included within the scope of Clause 70(2)."
17,"IPC 377. Unnatural offences. Whoever voluntarily has carnal intercourse against the order of nature with any man, woman or animal, shall be punished with [imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. Explanation.Penetration is sufficient to constitute the carnal intercourse necessary to the
offence described in this section. changes to BNSNo equivalent provision in the BNS.The Implication of revision is The BNS repeals section 377 of the Indian Penal Code. Section 377, to the extent that it covered consensual sexual acts was held to be unconstitutional by the Supreme Court in Navtej Johar v. Union of India. However, section 377 also covered cases of forced sexual acts against men, trans persons, and animals. By removing
section 377 altogether, the BNS no longer provides legal remedy for non- consensual sexual acts against men, trans persons, and animals. A separate section needed to be introduced to cover such
cases."
